mesa,circuito,lugar_votacion,seccion,distrito,electores
1,933A,1,111,1,350
2,933A,1,111,1,350
3,933A,1,111,1,350
4,933A,1,111,1,350
5,933A,1,111,1,350
6,933A,2,111,1,350
7,933A,2,111,1,350
8,933A,2,111,1,350
9,933A,2,111,1,350
10,933A,2,111,1,350
11,933A,2,111,1,350
12,933A,2,111,1,350
13,933A,3,111,1,350
14,933A,3,111,1,350
15,933A,3,111,1,350
16,933A,3,111,1,350
17,933A,3,111,1,350
18,933A,3,111,1,350
19,933A,4,111,1,350
20,933A,4,111,1,350
21,933A,4,111,1,350
22,933A,4,111,1,350
23,933A,4,111,1,350
24,933A,4,111,1,350
25,933A,4,111,1,350
26,933A,4,111,1,164
27,933B,5,111,1,350
28,933B,5,111,1,350
29,933B,5,111,1,350
30,933B,5,111,1,350
31,933B,5,111,1,350
32,933B,5,111,1,350
33,933B,6,111,1,350
34,933B,6,111,1,350
35,933B,6,111,1,350
36,933B,7,111,1,350
37,933B,7,111,1,350
38,933B,7,111,1,350
39,933B,7,111,1,350
40,933B,7,111,1,350
41,933B,7,111,1,350
42,933B,9,111,1,350
43,933B,9,111,1,350
44,933B,9,111,1,350
45,933B,9,111,1,350
46,933B,9,111,1,350
47,933B,9,111,1,350
48,933B,10,111,1,350
49,933B,10,111,1,350
50,933B,10,111,1,350
51,933B,8,111,1,350
52,933B,8,111,1,314
53,933C,11,111,1,350
54,933C,11,111,1,350
55,933C,11,111,1,350
56,933C,11,111,1,350
57,933C,11,111,1,350
58,933C,11,111,1,350
59,933C,11,111,1,350
60,933C,12,111,1,350
61,933C,12,111,1,350
62,933C,12,111,1,350
63,933C,12,111,1,350
64,933C,12,111,1,350
65,933C,12,111,1,350
66,933C,13,111,1,350
67,933C,13,111,1,350
68,933C,13,111,1,350
69,933C,13,111,1,350
70,933C,13,111,1,350
71,933C,13,111,1,350
72,933C,13,111,1,337
73,933D,14,111,1,350
74,933D,14,111,1,350
75,933D,14,111,1,350
76,933D,14,111,1,350
77,933D,14,111,1,350
78,933D,14,111,1,350
79,933D,14,111,1,350
80,933D,14,111,1,350
81,933D,14,111,1,350
82,933D,14,111,1,350
83,933D,15,111,1,350
84,933D,15,111,1,350
85,933D,15,111,1,270
86,933E,16,111,1,350
87,933E,16,111,1,350
88,933E,16,111,1,350
89,933E,16,111,1,350
90,933E,16,111,1,350
91,933E,17,111,1,350
92,933E,17,111,1,350
93,933E,17,111,1,350
94,933E,18,111,1,350
95,933E,18,111,1,350
96,933E,18,111,1,350
97,933E,18,111,1,350
98,933E,18,111,1,350
99,933E,19,111,1,350
100,933E,19,111,1,350
101,933E,19,111,1,350
102,933E,19,111,1,329
103,933F,20,111,1,350
104,933F,20,111,1,350
105,933F,20,111,1,350
106,933F,20,111,1,350
107,933F,20,111,1,350
108,933F,20,111,1,350
109,933F,20,111,1,350
110,933F,20,111,1,350
111,933F,21,111,1,350
112,933F,21,111,1,350
113,933F,21,111,1,350
114,933F,21,111,1,350
115,933F,21,111,1,350
116,933F,21,111,1,350
117,933F,21,111,1,350
118,933F,22,111,1,350
119,933F,22,111,1,350
120,933F,22,111,1,350
121,933F,22,111,1,350
122,933F,22,111,1,350
123,933F,23,111,1,350
124,933F,23,111,1,350
125,933F,23,111,1,188
126,933F,23,111,1,188
127,933G,24,111,1,350
128,933G,24,111,1,350
129,933G,24,111,1,350
130,933G,24,111,1,350
131,933G,24,111,1,350
132,933G,24,111,1,350
133,933G,24,111,1,350
134,933G,24,111,1,350
135,933G,25,111,1,350
136,933G,25,111,1,350
137,933G,25,111,1,350
138,933G,25,111,1,350
139,933G,25,111,1,350
140,933G,26,111,1,350
141,933G,26,111,1,350
142,933G,26,111,1,183
143,933H,27,111,1,350
144,933H,27,111,1,350
145,933H,27,111,1,350
146,933H,27,111,1,350
147,933H,27,111,1,350
148,933H,27,111,1,350
149,933H,27,111,1,350
150,933H,27,111,1,350
151,933H,27,111,1,350
152,933H,28,111,1,350
153,933H,28,111,1,350
154,933H,28,111,1,350
155,933H,28,111,1,350
156,933H,28,111,1,350
157,933H,28,111,1,298
158,933I,29,111,1,350
159,933I,29,111,1,350
160,933I,29,111,1,350
161,933I,30,111,1,350
162,933I,30,111,1,350
163,933I,30,111,1,350
164,933I,30,111,1,350
165,933I,30,111,1,350
166,933I,30,111,1,350
167,933I,31,111,1,350
168,933I,31,111,1,350
169,933I,31,111,1,350
170,933I,31,111,1,350
171,933I,31,111,1,350
172,933I,32,111,1,350
173,933I,32,111,1,350
174,933I,32,111,1,350
175,933I,32,111,1,350
176,933I,32,111,1,350
177,933I,32,111,1,350
178,933I,33,111,1,350
179,933I,33,111,1,350
180,933I,33,111,1,350
181,933I,33,111,1,350
182,933I,33,111,1,350
183,933I,33,111,1,350
184,933I,33,111,1,350
185,933I,33,111,1,350
186,933I,61,111,1,350
187,933I,61,111,1,350
188,933I,61,111,1,350
189,933I,61,111,1,305
190,933J,35,111,1,350
191,933J,35,111,1,350
192,933J,35,111,1,350
193,933J,35,111,1,350
194,933J,35,111,1,350
195,933J,35,111,1,350
196,933J,36,111,1,350
197,933J,36,111,1,350
198,933J,36,111,1,350
199,933J,36,111,1,350
200,933J,37,111,1,350
201,933J,37,111,1,350
202,933J,37,111,1,350
203,933J,37,111,1,350
204,933J,62,111,1,350
205,933J,62,111,1,350
206,933J,62,111,1,145
207,933K,38,111,1,350
208,933K,38,111,1,350
209,933K,38,111,1,350
210,933K,38,111,1,350
211,933K,38,111,1,350
212,933K,38,111,1,350
213,933K,38,111,1,350
214,933K,38,111,1,350
215,933K,38,111,1,350
216,933K,38,111,1,350
217,933K,63,111,1,350
218,933K,63,111,1,350
219,933K,63,111,1,350
220,933K,63,111,1,350
221,933K,63,111,1,350
222,933K,63,111,1,350
223,933K,39,111,1,350
224,933K,39,111,1,350
225,933K,39,111,1,350
226,933K,39,111,1,350
227,933K,39,111,1,350
228,933K,39,111,1,350
229,933K,39,111,1,350
230,933K,39,111,1,350
231,933K,40,111,1,350
232,933K,40,111,1,350
233,933K,40,111,1,350
234,933K,40,111,1,350
235,933K,41,111,1,350
236,933K,41,111,1,350
237,933K,41,111,1,350
238,933K,41,111,1,350
239,933K,41,111,1,350
240,933K,41,111,1,350
241,933K,41,111,1,350
242,933K,41,111,1,350
243,933K,42,111,1,350
244,933K,42,111,1,350
245,933K,42,111,1,350
246,933K,42,111,1,350
247,933K,42,111,1,350
248,933K,42,111,1,204
249,933L,43,111,1,350
250,933L,43,111,1,350
251,933L,43,111,1,350
252,933L,43,111,1,350
253,933L,43,111,1,350
254,933L,43,111,1,350
255,933L,43,111,1,350
256,933L,43,111,1,350
257,933L,43,111,1,350
258,933L,44,111,1,350
259,933L,44,111,1,350
260,933L,44,111,1,350
261,933L,44,111,1,350
262,933L,44,111,1,350
263,933L,44,111,1,350
264,933L,44,111,1,350
265,933L,44,111,1,350
266,933L,45,111,1,350
267,933L,45,111,1,350
268,933L,45,111,1,350
269,933L,45,111,1,350
270,933L,45,111,1,350
271,933L,45,111,1,350
272,933L,45,111,1,350
273,933L,46,111,1,350
274,933L,46,111,1,350
275,933L,46,111,1,350
276,933L,46,111,1,350
277,933L,46,111,1,350
278,933L,46,111,1,350
279,933L,46,111,1,350
280,933L,46,111,1,350
281,933L,46,111,1,350
282,933L,47,111,1,350
283,933L,47,111,1,350
284,933L,47,111,1,350
285,933L,47,111,1,350
286,933L,47,111,1,350
287,933L,47,111,1,350
288,933L,47,111,1,350
289,933L,48,111,1,350
290,933L,48,111,1,350
291,933L,48,111,1,350
292,933L,48,111,1,350
293,933L,48,111,1,350
294,933L,48,111,1,350
295,933L,49,111,1,350
296,933L,49,111,1,350
297,933L,49,111,1,350
298,933L,49,111,1,350
299,933L,49,111,1,350
300,933L,49,111,1,350
301,933L,49,111,1,350
302,933L,49,111,1,350
303,933L,50,111,1,350
304,933L,50,111,1,350
305,933L,50,111,1,350
306,933L,50,111,1,350
307,933L,50,111,1,350
308,933L,50,111,1,349
309,933L,50,111,1,350
310,933L,50,111,1,350
311,933L,50,111,1,350
312,933L,50,111,1,350
313,933L,51,111,1,350
314,933L,51,111,1,350
315,933L,51,111,1,350
316,933L,51,111,1,350
317,933L,51,111,1,350
318,933L,51,111,1,350
319,933L,52,111,1,350
320,933L,52,111,1,350
321,933L,52,111,1,350
322,933L,52,111,1,206
323,933M,53,111,1,216
324,934,54,111,1,340
325,935,55,111,1,86
326,936,56,111,1,35
327,937,57,111,1,350
328,937,57,111,1,350
329,937,57,111,1,350
330,937,57,111,1,350
331,937,57,111,1,350
332,937,57,111,1,145
333,938,58,111,1,229
334,939,59,111,1,103
335,940,60,111,1,350
336,940,60,111,1,350
337,940,60,111,1,119
9001,933,64,111,1,388
9002,933,64,111,1,388
9003,933,64,111,1,388
9004,933,64,111,1,388
9005,933,64,111,1,385
