partido_nombre,partido_nombre_corto,partido_codigo,partido_color,opcion_nombre,opcion_nombre_corto,opcion_codigo,categoria_slug,orden,,,,,opcion_nombre_corto
Movimiento Libres Del Sur,Libres del Sur,40,,Lista A Azul Y Rojo,Lista A Azul Y Rojo,40,intendente-tandil,1,,,40 - Libres del Sur,,
Proyecto Joven,Proyecto Joven,94,,Frente Joven,Frente Joven,94,intendente-tandil,2,,,94 - Proyecto Joven,,
Liber.ar,Liber.ar,131/318,,Lista C Anticorrupcion,Lista C Anticorrupcion,131/318,intendente-tandil,3,,,131/318 - Liber.ar,,
Juntos Por El Cambio,Juntos Por El Cambio,132,#fff34d,Falta Menos ... - Lunghi,Falta Menos - Lunghi,132-L,intendente-tandil,4,,,132 - Juntos Por El Cambio,,
Juntos Por El Cambio,Juntos Por El Cambio,132,#fff34d,Lista Hs - Manazzoni,Lista Hs - Manazzoni,132-M,intendente-tandil,5,,,132 - Juntos Por El Cambio,,
Juntos Por El Cambio,Juntos Por El Cambio,132,#fff34d,La Fuerza ... - Nicolini,La Fuerza - Nicolini,132-N,intendente-tandil,6,,,132 - Juntos Por El Cambio,,
Unión Por La Patria,Unión Por La Patria,134,#00abe5,Celeste Y Blanca - 2,Celeste Y Blanca - 2,134,intendente-tandil,7,,,134 - Unión Por La Patria,,
La Libertad Avanza,La Libertad Avanza,135,#3b00b0,Libertad Por Siempre,Libertad Por Siempre,135,intendente-tandil,8,,,135 - La Libertad Avanza,,
Fte Izquierda,Fte Izquierda,136,#b01700,Lista A Unir Y Fortalecer La Izq,FIT 1,136-1,intendente-tandil,9,,,136 - Fte Izquierda,,
Fte Izquierda,Fte Izquierda,136,#b01700,Lb Unidad De Luchadores Y La Izq,FIT 2,136-2,intendente-tandil,10,,,136 - Fte Izquierda,,
Principios Y Valores,Principios Y Valores,137/329,#0032e5,Lista 1a Tierra Techo Y Trabajo,Lista 1a TTT,137/329,intendente-tandil,11,,,137/329 - Principios Y Valores,,
Fte Fed Accion Solid Pba,Fte Fed Accion Solid Pba,304,,Accion Y Solidaridad,Accion Y Solidaridad,304,intendente-tandil,12,,,304 - Fte Fed Accion Solid Pba,,
